event_id,primary_id,secondary_id,tca,miss_distance_km,relative_velocity_kms,prob_collision,primary_risk_class
81,90355,36247,2026-05-25T00:14:12Z,3.33,3.93,1.06e-01,HIGH
114,61969,99443,2026-05-25T00:30:14Z,2.379,6.15,1.06e-01,HIGH
120,37186,86528,2026-05-25T00:50:11Z,1.659,13.92,4.04e-01,MEDIUM
320,80768,49122,2026-05-25T03:08:24Z,1.182,1.92,3.50e-01,MEDIUM
223,24376,24708,2026-05-25T03:38:36Z,0.156,10.81,5.00e-01,HIGH
315,74816,80768,2026-05-25T03:54:43Z,0.031,14.43,5.00e-01,HIGH
160,59636,45104,2026-05-25T04:43:18Z,13.094,10.02,3.29e-04,MEDIUM
219,22136,76437,2026-05-25T05:19:28Z,0.558,0.59,4.95e-01,HIGH
300,98955,28367,2026-05-25T05:31:19Z,1.532,5.91,4.22e-01,MEDIUM
200,78468,65204,2026-05-25T05:46:53Z,6.279,13.95,2.42e-02,MEDIUM
2,56304,32381,2026-05-25T07:03:03Z,0.906,1.0,4.97e-01,HIGH
175,89730,70277,2026-05-25T07:43:26Z,2.864,4.56,2.21e-01,LOW
127,99389,23089,2026-05-25T08:59:24Z,0.867,9.3,3.40e-01,MEDIUM
27,47347,58414,2026-05-25T09:06:27Z,3.806,13.14,7.00e-02,HIGH
134,34754,33448,2026-05-25T10:04:16Z,0.204,13.08,5.00e-01,HIGH
55,58735,75285,2026-05-25T11:05:08Z,3.461,5.03,1.67e-01,MEDIUM
53,90548,27809,2026-05-25T14:38:52Z,3.069,5.55,8.65e-02,MEDIUM
248,99089,68617,2026-05-25T16:51:03Z,28.609,10.02,2.09e-07,LOW
238,97543,30915,2026-05-25T21:20:56Z,41.297,5.68,1.00e-07,LOW
167,31811,28295,2026-05-25T21:25:05Z,0.489,5.2,4.02e-01,HIGH
174,84747,35056,2026-05-25T21:45:02Z,6.303,12.36,3.69e-02,MEDIUM
93,90548,20344,2026-05-25T22:10:43Z,1.077,3.64,4.10e-01,MEDIUM
60,91766,94228,2026-05-25T22:48:22Z,2.094,10.11,2.10e-01,LOW
245,62759,91752,2026-05-25T23:23:24Z,58.08,2.98,1.00e-07,LOW
129,51032,51598,2026-05-26T01:33:06Z,0.64,9.52,2.19e-01,HIGH
19,89322,79729,2026-05-26T02:00:01Z,0.165,10.11,2.68e-01,MEDIUM
307,65927,45080,2026-05-26T02:21:44Z,8.417,6.19,1.48e-02,LOW
1,27690,36474,2026-05-26T03:39:59Z,10.97,8.82,2.92e-03,MEDIUM
33,25245,31368,2026-05-26T04:53:57Z,3.751,13.84,4.61e-02,HIGH
193,25591,77585,2026-05-26T07:45:38Z,0.754,5.76,4.14e-01,HIGH
40,98718,99417,2026-05-26T10:54:16Z,2.77,14.14,1.89e-01,LOW
151,64639,88789,2026-05-26T11:21:53Z,6.963,5.05,2.15e-02,MEDIUM
43,84750,91885,2026-05-26T12:38:12Z,4.201,9.56,5.72e-02,HIGH
56,99727,54851,2026-05-26T12:38:19Z,3.982,10.44,1.37e-01,MEDIUM
291,27821,96933,2026-05-26T14:31:18Z,0.582,13.34,3.42e-01,HIGH
156,96187,49122,2026-05-26T15:14:55Z,14.193,1.09,2.47e-04,LOW
142,79469,66460,2026-05-26T15:42:02Z,4.622,6.83,5.87e-02,MEDIUM
100,87507,52963,2026-05-26T18:32:40Z,5.1,3.88,7.12e-02,MEDIUM
102,49166,47103,2026-05-26T20:04:10Z,0.428,12.46,5.00e-01,MEDIUM
37,36387,54834,2026-05-26T20:43:55Z,0.29,12.65,5.00e-01,HIGH
314,82985,79709,2026-05-26T20:45:00Z,1.006,6.86,1.42e-01,MEDIUM
7,61381,33496,2026-05-26T22:21:38Z,13.454,14.05,6.46e-04,LOW
148,20592,70187,2026-05-26T23:00:16Z,9.373,3.67,5.82e-03,MEDIUM
41,36627,22082,2026-05-26T23:32:55Z,69.057,13.88,1.00e-07,LOW
252,81274,99396,2026-05-26T23:45:46Z,1.013,8.09,2.44e-01,HIGH
186,47527,35894,2026-05-27T00:49:41Z,1.209,10.11,3.79e-01,HIGH
49,23210,45747,2026-05-27T04:00:41Z,0.257,12.24,5.00e-01,HIGH
153,83103,21903,2026-05-27T04:17:36Z,3.222,14.32,1.99e-01,LOW
47,61586,72013,2026-05-27T05:05:19Z,0.455,3.6,4.13e-01,MEDIUM
204,24628,26159,2026-05-27T06:27:27Z,5.022,3.85,2.68e-02,LOW
259,83982,27331,2026-05-27T06:41:29Z,3.342,11.0,4.90e-02,HIGH
270,36627,42536,2026-05-27T06:49:31Z,10.524,9.75,3.62e-03,LOW
158,76437,72373,2026-05-27T10:17:45Z,2.062,10.53,1.42e-01,MEDIUM
149,38799,30145,2026-05-27T10:49:08Z,8.131,14.4,1.47e-02,MEDIUM
76,79649,81497,2026-05-27T11:23:33Z,8.189,9.89,1.03e-02,LOW
10,86690,31982,2026-05-27T14:12:00Z,17.94,1.79,5.75e-05,LOW
286,47527,24028,2026-05-27T14:27:39Z,1.772,3.92,2.11e-01,HIGH
266,50732,52184,2026-05-27T14:55:31Z,4.703,10.06,8.31e-02,MEDIUM
250,34044,48642,2026-05-27T16:06:16Z,29.204,9.74,2.23e-07,LOW
177,35738,76287,2026-05-27T19:56:18Z,0.375,5.46,5.00e-01,HIGH
240,81988,98955,2026-05-27T19:56:36Z,35.614,6.3,1.00e-07,LOW
260,79709,47396,2026-05-27T21:13:09Z,0.91,12.84,1.86e-01,MEDIUM
110,35502,46623,2026-05-27T23:50:14Z,1.347,11.01,2.43e-01,HIGH
150,94247,34495,2026-05-28T05:34:01Z,0.244,5.34,2.77e-01,HIGH
107,83814,83180,2026-05-28T05:37:44Z,11.802,4.42,6.98e-04,MEDIUM
118,31190,36168,2026-05-28T05:48:41Z,1.607,12.81,9.65e-02,HIGH
16,68972,24028,2026-05-28T07:35:58Z,7.647,5.44,7.84e-03,HIGH
218,33946,84750,2026-05-28T09:13:21Z,5.151,4.29,6.25e-02,HIGH
203,63578,33515,2026-05-28T09:33:31Z,8.796,13.77,6.52e-03,LOW
308,24712,42536,2026-05-28T13:27:21Z,2.985,2.11,6.23e-02,HIGH
91,97606,81405,2026-05-28T15:40:07Z,28.54,7.55,2.55e-07,LOW
317,83323,97640,2026-05-28T16:58:32Z,3.706,7.86,7.28e-02,MEDIUM
86,22104,54781,2026-05-28T18:54:09Z,6.928,11.53,2.63e-02,MEDIUM
103,48674,35312,2026-05-28T21:24:28Z,4.411,5.11,1.01e-01,MEDIUM
166,93990,50170,2026-05-28T22:33:38Z,5.547,6.17,4.63e-02,MEDIUM
168,71892,29040,2026-05-28T23:17:56Z,2.755,11.07,5.33e-02,HIGH
145,27331,55379,2026-05-29T00:40:43Z,26.091,9.98,4.85e-07,MEDIUM
101,94613,33276,2026-05-29T01:42:42Z,17.291,0.75,6.97e-05,LOW
48,33939,32129,2026-05-29T03:24:49Z,19.646,13.12,4.65e-05,LOW
261,22082,86801,2026-05-29T04:35:40Z,11.687,13.1,2.85e-03,LOW
235,63889,78027,2026-05-29T04:55:15Z,9.257,11.15,7.07e-03,MEDIUM
292,90355,78116,2026-05-29T05:04:59Z,1.325,11.05,2.88e-01,HIGH
29,69234,25471,2026-05-29T05:53:23Z,1.765,8.54,3.18e-01,MEDIUM
264,61381,62178,2026-05-29T09:07:20Z,26.067,2.04,7.17e-07,LOW
162,88648,81497,2026-05-29T09:23:40Z,1.351,14.29,2.24e-01,HIGH
213,35591,60478,2026-05-29T09:39:25Z,8.636,3.64,1.01e-02,MEDIUM
14,33938,81405,2026-05-29T12:01:09Z,0.494,6.6,5.00e-01,HIGH
141,90582,35631,2026-05-29T12:10:33Z,1.617,0.79,3.93e-01,HIGH
251,29075,70187,2026-05-29T12:40:39Z,1.815,6.34,3.85e-01,HIGH
191,93614,67734,2026-05-29T12:44:23Z,13.939,6.19,8.57e-04,MEDIUM
199,77145,55063,2026-05-29T13:23:57Z,20.337,5.18,3.18e-05,MEDIUM
197,97817,33179,2026-05-29T14:32:58Z,11.491,2.59,6.97e-04,MEDIUM
247,22507,45923,2026-05-29T16:41:13Z,0.559,5.89,5.00e-01,HIGH
105,79651,31885,2026-05-29T16:49:25Z,0.025,2.72,5.00e-01,HIGH
137,68617,77638,2026-05-29T18:04:50Z,2.824,14.28,1.38e-01,MEDIUM
62,40415,42962,2026-05-29T18:28:22Z,4.667,9.49,7.47e-02,MEDIUM
117,20376,69085,2026-05-29T21:11:03Z,7.296,5.16,2.22e-02,MEDIUM
190,25503,44323,2026-05-29T21:29:06Z,6.438,5.45,2.81e-02,MEDIUM
108,30627,29336,2026-05-29T22:32:06Z,7.205,2.97,2.38e-02,MEDIUM
25,94498,22507,2026-05-30T00:29:33Z,2.245,1.3,2.67e-01,HIGH
178,33563,52184,2026-05-30T01:11:03Z,0.318,1.58,5.00e-01,HIGH
294,20592,44715,2026-05-30T01:19:44Z,1.464,14.32,2.91e-01,MEDIUM
140,69085,87221,2026-05-30T01:29:48Z,0.305,0.55,2.64e-01,HIGH
288,88648,39224,2026-05-30T01:53:32Z,0.689,13.3,4.76e-01,HIGH
59,24376,96230,2026-05-30T02:40:20Z,0.058,7.75,5.00e-01,HIGH
58,83982,49350,2026-05-30T03:14:40Z,1.366,2.99,4.82e-01,HIGH
179,61482,72013,2026-05-30T04:13:24Z,6.428,14.2,2.44e-02,HIGH
35,98190,89730,2026-05-30T06:19:27Z,5.682,3.47,2.03e-02,MEDIUM
215,84216,23234,2026-05-30T07:52:51Z,3.211,1.26,1.63e-01,HIGH
269,37033,54566,2026-05-30T12:41:12Z,6.476,10.07,8.19e-03,LOW
20,26843,50493,2026-05-30T15:35:48Z,0.734,2.15,2.88e-01,MEDIUM
309,35502,62591,2026-05-30T16:52:02Z,1.372,12.13,3.08e-01,HIGH
271,27517,66164,2026-05-30T18:12:07Z,4.308,8.66,5.05e-02,MEDIUM
98,95534,22083,2026-05-30T18:15:24Z,0.587,12.82,3.78e-01,HIGH
36,54120,69443,2026-05-30T20:22:03Z,1.463,0.94,1.39e-01,HIGH
276,47224,85403,2026-05-30T20:54:45Z,11.566,8.02,2.99e-03,LOW
106,99389,60314,2026-05-30T21:17:38Z,18.275,10.2,4.27e-05,MEDIUM
299,51032,36583,2026-05-30T22:42:43Z,1.307,11.34,2.59e-01,HIGH
226,86350,72859,2026-05-30T22:46:39Z,0.956,1.18,5.00e-01,MEDIUM
228,49351,73603,2026-05-30T23:17:20Z,4.161,7.18,9.85e-02,LOW
78,23474,62194,2026-05-31T00:41:44Z,2.618,10.87,1.13e-01,LOW
57,89259,35387,2026-05-31T00:57:57Z,8.569,5.21,4.34e-03,LOW
65,43875,27906,2026-05-31T02:03:41Z,1.874,9.6,1.55e-01,HIGH
89,82044,86003,2026-05-31T07:13:10Z,4.15,12.54,4.77e-02,MEDIUM
122,72373,42057,2026-05-31T07:41:47Z,1.218,5.57,2.32e-01,HIGH
201,77490,84941,2026-05-31T08:47:04Z,47.491,10.08,1.00e-07,LOW
214,68987,98955,2026-05-31T09:59:58Z,10.03,0.58,6.17e-03,LOW
232,99727,34827,2026-05-31T10:03:01Z,4.992,10.68,7.10e-02,MEDIUM
306,47053,44123,2026-05-31T10:18:32Z,67.076,4.65,1.00e-07,LOW
319,35738,28696,2026-05-31T12:11:21Z,0.914,2.8,5.00e-01,HIGH
30,79256,97535,2026-05-31T13:03:24Z,3.481,7.28,3.54e-02,MEDIUM
301,40759,98807,2026-05-31T15:30:17Z,4.89,12.67,7.22e-02,LOW
39,97126,65126,2026-05-31T15:54:43Z,1.256,2.99,3.36e-01,HIGH
21,63718,28506,2026-05-31T17:03:19Z,1.715,5.22,3.73e-01,HIGH
71,21889,70797,2026-05-31T18:20:53Z,1.471,3.36,2.42e-01,HIGH
187,62520,28367,2026-05-31T20:06:41Z,2.6,0.65,6.25e-02,MEDIUM
26,65444,49166,2026-05-31T21:10:42Z,1.008,5.2,1.58e-01,HIGH
17,68914,46623,2026-05-31T21:19:22Z,3.404,5.89,1.73e-01,HIGH
172,89033,52787,2026-05-31T22:13:22Z,0.476,2.95,3.14e-01,HIGH
115,63889,82927,2026-05-31T22:21:14Z,9.367,5.53,9.03e-03,MEDIUM
68,90252,30145,2026-05-31T22:26:38Z,2.632,8.0,6.06e-02,HIGH
85,78007,85724,2026-05-31T23:13:28Z,22.539,8.71,8.73e-06,LOW
109,42962,59048,2026-05-31T23:19:05Z,1.449,7.55,2.87e-01,HIGH
216,79009,64884,2026-06-01T03:11:29Z,0.406,8.7,5.00e-01,HIGH
185,46241,81988,2026-06-01T03:23:28Z,4.142,10.12,1.12e-01,HIGH
298,71151,34778,2026-06-01T03:27:57Z,3.961,1.05,3.36e-02,MEDIUM
