object_id,risk_class
25578,LOW
58379,LOW
72845,LOW
87585,LOW
71357,LOW
39406,LOW
27809,MEDIUM
48526,MEDIUM
99241,LOW
20592,MEDIUM
79988,LOW
72373,HIGH
52787,LOW
32150,MEDIUM
20344,LOW
89730,LOW
41125,LOW
29400,LOW
82912,LOW
24028,MEDIUM
87225,HIGH
36634,LOW
87198,MEDIUM
80768,MEDIUM
48959,LOW
85667,LOW
31888,MEDIUM
27885,LOW
62194,LOW
86447,HIGH
55559,MEDIUM
87521,LOW
34495,LOW
46918,LOW
98108,MEDIUM
83832,LOW
27497,LOW
67381,LOW
28185,LOW
98955,MEDIUM
76063,MEDIUM
79309,HIGH
48999,MEDIUM
25485,LOW
34275,HIGH
91332,HIGH
35199,LOW
30151,LOW
22102,MEDIUM
27517,MEDIUM
28546,LOW
42057,LOW
91569,MEDIUM
46102,MEDIUM
27523,LOW
96933,HIGH
99089,LOW
68691,MEDIUM
85082,LOW
88456,LOW
32313,MEDIUM
93649,LOW
90646,HIGH
70232,MEDIUM
79059,LOW
36247,MEDIUM
93561,MEDIUM
35789,MEDIUM
42608,LOW
42541,LOW
37986,MEDIUM
71151,MEDIUM
27331,MEDIUM
50170,LOW
83103,LOW
88789,LOW
53582,LOW
39689,MEDIUM
80547,LOW
49350,HIGH
79009,HIGH
70144,MEDIUM
78468,MEDIUM
82785,LOW
22559,LOW
88669,LOW
81690,LOW
35776,MEDIUM
36583,LOW
83680,MEDIUM
81368,LOW
22798,LOW
59465,MEDIUM
34778,MEDIUM
68424,LOW
96740,MEDIUM
97077,LOW
82418,MEDIUM
62759,LOW
93628,MEDIUM
30915,LOW
97606,LOW
31885,LOW
65444,HIGH
76721,MEDIUM
91497,MEDIUM
52524,MEDIUM
57573,LOW
58735,LOW
80689,LOW
76287,LOW
30138,LOW
78369,LOW
36168,LOW
93971,LOW
39345,MEDIUM
65025,MEDIUM
23234,LOW
89967,MEDIUM
66282,LOW
44123,MEDIUM
34522,MEDIUM
27690,MEDIUM
56324,MEDIUM
43152,LOW
83445,LOW
98641,LOW
81210,LOW
42865,LOW
73579,LOW
73965,LOW
54500,MEDIUM
54858,LOW
52184,LOW
95367,MEDIUM
47906,LOW
40458,LOW
65927,MEDIUM
93398,HIGH
65722,LOW
46521,MEDIUM
89704,MEDIUM
63322,HIGH
66441,MEDIUM
93464,HIGH
31826,LOW
59118,LOW
40350,LOW
62591,LOW
92587,LOW
40415,MEDIUM
28285,LOW
64804,LOW
99443,MEDIUM
84941,LOW
47783,MEDIUM
81477,LOW
81369,LOW
35209,LOW
51144,LOW
55053,LOW
92605,LOW
48764,LOW
96782,LOW
50893,MEDIUM
32858,LOW
79651,HIGH
78397,MEDIUM
84875,LOW
58465,MEDIUM
86972,LOW
44592,HIGH
45747,LOW
97156,MEDIUM
58155,LOW
82851,LOW
78007,LOW
45871,LOW
77406,MEDIUM
94650,MEDIUM
33448,LOW
38028,MEDIUM
53598,HIGH
52912,LOW
67634,LOW
64907,HIGH
41453,LOW
30238,LOW
